trip_id,arrival_time,departure_time,stop_id,stop_sequence
L-CUATRI_0530_IDA,05:30:00,05:30:00,P_ESCUQUE,1
L-CUATRI_0530_IDA,05:50:00,05:50:00,P_VALERA,2
L-CUATRI_0600_IDA,06:00:00,06:00:00,P_ESCUQUE,1
L-CUATRI_0600_IDA,06:20:00,06:20:00,P_VALERA,2
L-CUATRI_0630_IDA,06:30:00,06:30:00,P_ESCUQUE,1
L-CUATRI_0630_IDA,06:50:00,06:50:00,P_VALERA,2
L-CUATRI_0700_IDA,07:00:00,07:00:00,P_ESCUQUE,1
L-CUATRI_0700_IDA,07:20:00,07:20:00,P_VALERA,2
L-CUATRI_0730_IDA,07:30:00,07:30:00,P_ESCUQUE,1
L-CUATRI_0730_IDA,07:50:00,07:50:00,P_VALERA,2
L-CUATRI_0800_IDA,08:00:00,08:00:00,P_ESCUQUE,1
L-CUATRI_0800_IDA,08:20:00,08:20:00,P_VALERA,2
L-CUATRI_0830_IDA,08:30:00,08:30:00,P_ESCUQUE,1
L-CUATRI_0830_IDA,08:50:00,08:50:00,P_VALERA,2
L-CUATRI_0900_IDA,09:00:00,09:00:00,P_ESCUQUE,1
L-CUATRI_0900_IDA,09:20:00,09:20:00,P_VALERA,2
L-CUATRI_0930_IDA,09:30:00,09:30:00,P_ESCUQUE,1
L-CUATRI_0930_IDA,09:50:00,09:50:00,P_VALERA,2
L-CUATRI_1000_IDA,10:00:00,10:00:00,P_ESCUQUE,1
L-CUATRI_1000_IDA,10:20:00,10:20:00,P_VALERA,2
L-CUATRI_1030_IDA,10:30:00,10:30:00,P_ESCUQUE,1
L-CUATRI_1030_IDA,10:50:00,10:50:00,P_VALERA,2
L-CUATRI_1100_IDA,11:00:00,11:00:00,P_ESCUQUE,1
L-CUATRI_1100_IDA,11:20:00,11:20:00,P_VALERA,2
L-CUATRI_1130_IDA,11:30:00,11:30:00,P_ESCUQUE,1
L-CUATRI_1130_IDA,11:50:00,11:50:00,P_VALERA,2
L-CUATRI_1200_IDA,12:00:00,12:00:00,P_ESCUQUE,1
L-CUATRI_1200_IDA,12:20:00,12:20:00,P_VALERA,2
L-CUATRI_1230_IDA,12:30:00,12:30:00,P_ESCUQUE,1
L-CUATRI_1230_IDA,12:50:00,12:50:00,P_VALERA,2
L-CUATRI_1300_IDA,13:00:00,13:00:00,P_ESCUQUE,1
L-CUATRI_1300_IDA,13:20:00,13:20:00,P_VALERA,2
L-CUATRI_1330_IDA,13:30:00,13:30:00,P_ESCUQUE,1
L-CUATRI_1330_IDA,13:50:00,13:50:00,P_VALERA,2
L-CUATRI_1400_IDA,14:00:00,14:00:00,P_ESCUQUE,1
L-CUATRI_1400_IDA,14:20:00,14:20:00,P_VALERA,2
L-CUATRI_1430_IDA,14:30:00,14:30:00,P_ESCUQUE,1
L-CUATRI_1430_IDA,14:50:00,14:50:00,P_VALERA,2
L-CUATRI_1500_IDA,15:00:00,15:00:00,P_ESCUQUE,1
L-CUATRI_1500_IDA,15:20:00,15:20:00,P_VALERA,2
L-CUATRI_1530_IDA,15:30:00,15:30:00,P_ESCUQUE,1
L-CUATRI_1530_IDA,15:50:00,15:50:00,P_VALERA,2
L-CUATRI_1600_IDA,16:00:00,16:00:00,P_ESCUQUE,1
L-CUATRI_1600_IDA,16:20:00,16:20:00,P_VALERA,2
L-CUATRI_1630_IDA,16:30:00,16:30:00,P_ESCUQUE,1
L-CUATRI_1630_IDA,16:50:00,16:50:00,P_VALERA,2
L-CUATRI_1700_IDA,17:00:00,17:00:00,P_ESCUQUE,1
L-CUATRI_1700_IDA,17:20:00,17:20:00,P_VALERA,2
L-CUATRI_1730_IDA,17:30:00,17:30:00,P_ESCUQUE,1
L-CUATRI_1730_IDA,17:50:00,17:50:00,P_VALERA,2
L-CUATRI_1800_IDA,18:00:00,18:00:00,P_ESCUQUE,1
L-CUATRI_1800_IDA,18:20:00,18:20:00,P_VALERA,2
L-CUATRI_1830_IDA,18:30:00,18:30:00,P_ESCUQUE,1
L-CUATRI_1830_IDA,18:50:00,18:50:00,P_VALERA,2
L-CUATRI_1900_IDA,19:00:00,19:00:00,P_ESCUQUE,1
L-CUATRI_1900_IDA,19:20:00,19:20:00,P_VALERA,2
L-CUATRI_0530_VUELTA,05:30:00,05:30:00,P_VALERA,1
L-CUATRI_0530_VUELTA,05:50:00,05:50:00,P_ESCUQUE,2
L-CUATRI_0600_VUELTA,06:00:00,06:00:00,P_VALERA,1
L-CUATRI_0600_VUELTA,06:20:00,06:20:00,P_ESCUQUE,2
L-CUATRI_0630_VUELTA,06:30:00,06:30:00,P_VALERA,1
L-CUATRI_0630_VUELTA,06:50:00,06:50:00,P_ESCUQUE,2
L-CUATRI_0700_VUELTA,07:00:00,07:00:00,P_VALERA,1
L-CUATRI_0700_VUELTA,07:20:00,07:20:00,P_ESCUQUE,2
L-CUATRI_0730_VUELTA,07:30:00,07:30:00,P_VALERA,1
L-CUATRI_0730_VUELTA,07:50:00,07:50:00,P_ESCUQUE,2
L-CUATRI_0800_VUELTA,08:00:00,08:00:00,P_VALERA,1
L-CUATRI_0800_VUELTA,08:20:00,08:20:00,P_ESCUQUE,2
L-CUATRI_0830_VUELTA,08:30:00,08:30:00,P_VALERA,1
L-CUATRI_0830_VUELTA,08:50:00,08:50:00,P_ESCUQUE,2
L-CUATRI_0900_VUELTA,09:00:00,09:00:00,P_VALERA,1
L-CUATRI_0900_VUELTA,09:20:00,09:20:00,P_ESCUQUE,2
L-CUATRI_0930_VUELTA,09:30:00,09:30:00,P_VALERA,1
L-CUATRI_0930_VUELTA,09:50:00,09:50:00,P_ESCUQUE,2
L-CUATRI_1000_VUELTA,10:00:00,10:00:00,P_VALERA,1
L-CUATRI_1000_VUELTA,10:20:00,10:20:00,P_ESCUQUE,2
L-CUATRI_1030_VUELTA,10:30:00,10:30:00,P_VALERA,1
L-CUATRI_1030_VUELTA,10:50:00,10:50:00,P_ESCUQUE,2
L-CUATRI_1100_VUELTA,11:00:00,11:00:00,P_VALERA,1
L-CUATRI_1100_VUELTA,11:20:00,11:20:00,P_ESCUQUE,2
L-CUATRI_1130_VUELTA,11:30:00,11:30:00,P_VALERA,1
L-CUATRI_1130_VUELTA,11:50:00,11:50:00,P_ESCUQUE,2
L-CUATRI_1200_VUELTA,12:00:00,12:00:00,P_VALERA,1
L-CUATRI_1200_VUELTA,12:20:00,12:20:00,P_ESCUQUE,2
L-CUATRI_1230_VUELTA,12:30:00,12:30:00,P_VALERA,1
L-CUATRI_1230_VUELTA,12:50:00,12:50:00,P_ESCUQUE,2
L-CUATRI_1300_VUELTA,13:00:00,13:00:00,P_VALERA,1
L-CUATRI_1300_VUELTA,13:20:00,13:20:00,P_ESCUQUE,2
L-CUATRI_1330_VUELTA,13:30:00,13:30:00,P_VALERA,1
L-CUATRI_1330_VUELTA,13:50:00,13:50:00,P_ESCUQUE,2
L-CUATRI_1400_VUELTA,14:00:00,14:00:00,P_VALERA,1
L-CUATRI_1400_VUELTA,14:20:00,14:20:00,P_ESCUQUE,2
L-CUATRI_1430_VUELTA,14:30:00,14:30:00,P_VALERA,1
L-CUATRI_1430_VUELTA,14:50:00,14:50:00,P_ESCUQUE,2
L-CUATRI_1500_VUELTA,15:00:00,15:00:00,P_VALERA,1
L-CUATRI_1500_VUELTA,15:20:00,15:20:00,P_ESCUQUE,2
L-CUATRI_1530_VUELTA,15:30:00,15:30:00,P_VALERA,1
L-CUATRI_1530_VUELTA,15:50:00,15:50:00,P_ESCUQUE,2
L-CUATRI_1600_VUELTA,16:00:00,16:00:00,P_VALERA,1
L-CUATRI_1600_VUELTA,16:20:00,16:20:00,P_ESCUQUE,2
L-CUATRI_1630_VUELTA,16:30:00,16:30:00,P_VALERA,1
L-CUATRI_1630_VUELTA,16:50:00,16:50:00,P_ESCUQUE,2
L-CUATRI_1700_VUELTA,17:00:00,17:00:00,P_VALERA,1
L-CUATRI_1700_VUELTA,17:20:00,17:20:00,P_ESCUQUE,2
L-CUATRI_1730_VUELTA,17:30:00,17:30:00,P_VALERA,1
L-CUATRI_1730_VUELTA,17:50:00,17:50:00,P_ESCUQUE,2
L-CUATRI_1800_VUELTA,18:00:00,18:00:00,P_VALERA,1
L-CUATRI_1800_VUELTA,18:20:00,18:20:00,P_ESCUQUE,2
L-CUATRI_1830_VUELTA,18:30:00,18:30:00,P_VALERA,1
L-CUATRI_1830_VUELTA,18:50:00,18:50:00,P_ESCUQUE,2
L-CUATRI_1900_VUELTA,19:00:00,19:00:00,P_VALERA,1
L-CUATRI_1900_VUELTA,19:20:00,19:20:00,P_ESCUQUE,2
CCS_1000_IDA,10:00:00,10:00:00,T_CARACAS,1
CCS_1000_IDA,17:30:00,17:30:00,T_GUANARE,2
CCS_0945_VUELTA,09:45:00,09:45:00,T_GUANARE,1
CCS_0945_VUELTA,17:30:00,17:30:00,T_CARACAS,2
BP_0530_IDA,05:30:00,05:30:00,P_CABRES,1
BP_0530_IDA,07:00:00,07:00:00,P_BISCUCUY,2
BP_0630_IDA,06:30:00,06:30:00,P_CABRES,1
BP_0630_IDA,08:00:00,08:00:00,P_BISCUCUY,2
BP_1230_IDA,12:30:00,12:30:00,P_CABRES,1
BP_1230_IDA,14:00:00,14:00:00,P_BISCUCUY,2
BP_1630_IDA,16:30:00,16:30:00,P_CABRES,1
BP_1630_IDA,18:00:00,18:00:00,P_BISCUCUY,2
BP_0630_VUELTA,06:30:00,06:30:00,P_BISCUCUY,1
BP_0630_VUELTA,08:00:00,08:00:00,P_CABRES,2
BP_1030_VUELTA,10:30:00,10:30:00,P_BISCUCUY,1
BP_1030_VUELTA,12:00:00,12:00:00,P_CABRES,2
BP_1430_VUELTA,14:30:00,14:30:00,P_BISCUCUY,1
BP_1430_VUELTA,16:00:00,16:00:00,P_CABRES,2
BP_1830_VUELTA,18:30:00,18:30:00,P_BISCUCUY,1
BP_1830_VUELTA,20:00:00,20:00:00,P_CABRES,2
SINFO_GB_IDA,00:00:00,00:00:00,T_GUANARE,1
SINFO_GB_IDA,02:30:00,02:30:00,T_BARQUISIMETO,2
SINFO_GB_VUELTA,00:00:00,00:00:00,T_BARQUISIMETO,1
SINFO_GB_VUELTA,02:30:00,02:30:00,T_GUANARE,2
L1_IDA_LV,00:00:00,00:00:00,S_VAN_A1,1
L1_IDA_LV,00:03:00,00:03:30,S_VAR_A1,2
L1_IDA_LV,00:06:00,00:06:30,S_GUA_A1,3
L1_IDA_LV,00:09:00,00:09:30,S_SAB_A1,4
L1_IDA_LV,00:12:00,00:12:30,S_URD_A1,5
L1_IDA_LV,00:15:00,00:15:00,S_LIB_A1,6
L1_VUELTA_LV,00:00:00,00:00:00,S_LIB_A1,1
